world,scenario_id,condition,system,channel,run_idx,episode_id,valid,censored,hit_cap_sim_steps,hit_cap_wallclock,termination_reason,duration_s,ticks,wallclock_s,turns,agent_turns,user_turns,turn_taking,conv_progression,selectivity,n_distractors_injected,n_distractors_ignored,prd,efficiency,optimal_blocks,blocks_walked,pass_at_1,over_ratio,under_ratio,budget_side,faithfulness,dnsmos,utmos,nisqa,speech_complexity_preset,agent_model_id,decision_model_arm,ideal_tool_calls,actual_tool_calls,conditional_pop_note,conv_progression_raw13,faithfulness_raw13,conv_progression_pass_gate,faithfulness_pass_gate
nyc_geo,geo_a_base_i1,base,xai-realtime,clean,2,d140982b-5727-4de5-af8f-ec72c923bd22,1,0,0,0,user_stop,417.2,2086,547.6,85,42,43,0.7159,0.0,,,,1,1.0,5,5,1,,0.4286,under,0.5,3.025,3.751,3.176,control,xai:xai-realtime,luna,7,3,,1,2,0,1
nyc_geo,geo_a_base_i1,base,xai-realtime,clean,3,33462f6f-68f3-4288-a4ee-f856fe199e61,1,0,0,0,user_stop,440.2,2201,596.0,81,40,41,0.775,0.5,,,,1,1.0,5,5,1,,0.5714,under,0.5,3.193,3.94,3.325,control,xai:xai-realtime,luna,7,4,,2,2,1,1
nyc_geo,geo_a_base_i1,base,xai-realtime,clean,4,b20f06f5-4723-4e54-8d1e-f920174dc2b6,1,1,1,0,max_steps,1200.2,6001,1577.3,168,84,84,0.8298,0.0,,,,0,,5,4,0,1.4286,,over,0.0,3.119,3.711,3.182,control,xai:xai-realtime,luna,7,10,,1,1,0,0
nyc_geo,geo_a_base_i2,base,xai-realtime,clean,0,b26aae93-0969-4e7a-95ed-59d661d99d88,1,0,0,0,user_stop,162.4,812,213.9,31,15,16,0.85,0.5,,,,1,1.0,5,5,1,,0.5714,under,0.5,3.167,3.961,3.227,control,xai:xai-realtime,luna,7,4,,2,2,1,1
nyc_geo,geo_a_base_i2,base,xai-realtime,clean,1,f5dcf8ed-56db-4c0f-947d-b02c3e120c3b,1,0,0,0,user_stop,218.8,1094,285.4,43,21,22,0.75,0.5,,,,1,1.0,5,5,1,,0.7143,under,0.5,3.086,3.831,3.16,control,xai:xai-realtime,luna,7,5,,2,2,1,1
nyc_geo,geo_a_base_i2,base,xai-realtime,clean,2,db0404e6-b29f-4bed-8971-8684420433e2,1,0,0,0,user_stop,561.4,2807,757.5,79,39,40,0.8596,0.5,,,,1,0.3333,5,15,0,1.2857,,over,0.0,3.103,3.74,3.142,control,xai:xai-realtime,luna,7,9,,2,1,1,0
nyc_geo,geo_a_base_i2,base,xai-realtime,clean,3,d89244ca-c9a3-483a-8abf-389fde539e9b,1,0,0,0,user_stop,368.0,1840,511.8,97,48,49,0.6921,0.0,,,,1,1.0,5,5,1,,0.8571,under,0.0,3.093,3.796,3.182,control,xai:xai-realtime,luna,7,6,,1,1,0,0
nyc_geo,geo_a_base_i2,base,xai-realtime,clean,4,956dfd5a-7fcd-4ae0-ac66-94b4ebed8c39,1,0,0,0,user_stop,168.8,844,231.9,23,11,12,0.8833,0.0,,,,1,1.0,5,5,1,,0.5714,under,0.5,3.175,3.886,3.31,control,xai:xai-realtime,luna,7,4,,1,2,0,1
nyc_geo,geo_a_base_i3,base,xai-realtime,clean,0,0d45374a-c56e-45e8-849f-97c2d24a05a0,1,1,1,0,max_steps,1200.2,6001,1556.6,127,63,64,0.0,0.0,,,,0,,5,11,0,1.5714,,over,0.0,3.137,3.677,3.176,control,xai:xai-realtime,luna,7,11,,1,1,0,0
nyc_geo,geo_a_base_i3,base,xai-realtime,clean,1,db065504-e8d1-4414-9fa0-a11b833cfe39,1,0,0,0,user_stop,286.8,1434,384.8,57,28,29,0.825,0.5,,,,1,1.0,5,5,1,,0.5714,under,0.0,3.141,3.949,3.234,control,xai:xai-realtime,luna,7,4,,2,1,1,0
